ngram,year,frequency
equality,1946,1.3062522157269996e-05
equality,1947,1.4031569662620313e-05
equality,1948,1.2578233508975245e-05
equality,1949,1.1602438462432474e-05
equality,1950,1.2188848813821096e-05
equality,1951,1.1991905012109783e-05
equality,1952,1.2803327081201132e-05
equality,1953,1.1829059076262638e-05
equality,1954,1.1251549949520268e-05
equality,1955,1.1688322047120892e-05
equality,1956,1.2622257600014564e-05
equality,1957,1.1530793017300311e-05
equality,1958,1.1968295439146459e-05
equality,1959,1.2658443665714003e-05
equality,1960,1.2853169209847692e-05
equality,1961,1.3240796761238016e-05
equality,1962,1.400591827405151e-05
equality,1963,1.4880666640237905e-05
equality,1964,1.5197764696495142e-05
equality,1965,1.4855899280519225e-05
equality,1966,1.4740444385097362e-05
equality,1967,1.4951944649510551e-05
equality,1968,1.589911880728323e-05
equality,1969,1.6579573639319278e-05
equality,1970,1.6338404748239554e-05
equality,1971,1.632311978028156e-05
equality,1972,1.6047242752392776e-05
equality,1973,1.5655476090614684e-05
equality,1974,1.568550396768842e-05
equality,1975,1.638009780435823e-05
equality,1976,1.5472784070880152e-05
equality,1977,1.5711717423982918e-05
equality,1978,1.539348522783257e-05
equality,1979,1.5153751519392245e-05
equality,1980,1.4892363651597407e-05
equality,1981,1.4594260392186698e-05
equality,1982,1.4571553037967533e-05
equality,1983,1.5161048395384569e-05
equality,1984,1.4568474398402032e-05
equality,1985,1.4892858416715171e-05
equality,1986,1.4773699149372987e-05
equality,1987,1.5034132047730964e-05
equality,1988,1.4707199625263456e-05
equality,1989,1.4890299098624382e-05
equality,1990,1.5101732969924342e-05
equality,1991,1.562009856570512e-05
equality,1992,1.5775491192471236e-05
equality,1993,1.607679223525338e-05
equality,1994,1.6536669136257842e-05
equality,1995,1.7252208635909483e-05
equality,1996,1.8093565813614987e-05
equality,1997,1.7955160728888586e-05
equality,1998,1.848764077294618e-05
equality,1999,1.8891012587118894e-05
equality,2000,1.9278630134067498e-05
equality,2001,1.891925603558775e-05
equality,2002,1.9964285456808284e-05
equality,2003,1.968535616470035e-05
equality,2004,1.963177783181891e-05
equality,2005,2.084319021378178e-05
equality,2006,2.0719655367429368e-05
equality,2007,2.0666559066739865e-05
equality,2008,2.000133645196911e-05
equality,2009,2.0287756342440844e-05
equality,2010,1.935703221533913e-05
equality,2011,1.7619098798604682e-05
equality,2012,1.795874413801357e-05
equality,2013,2.0908059013891034e-05
equality,2014,1.8320059098186903e-05
equality,2015,1.956196501851082e-05
equality,2016,2.3013903046376072e-05
equality,2017,2.1594327336060815e-05
equality,2018,2.1186238882364705e-05
equality,2019,2.0610175852198154e-05
social justice,1800,1.5141754516889705e-08
social justice,1801,3.479360444202939e-08
social justice,1802,1.1245159470263388e-07
social justice,1803,5.509292133609733e-09
social justice,1804,1.2391054404758961e-08
social justice,1805,2.6102783934334184e-08
social justice,1806,1.4068850084925089e-08
social justice,1807,1.2217796552249638e-08
social justice,1808,1.560700901848122e-08
social justice,1809,3.457825359376443e-09
social justice,1810,3.357357414301987e-08
social justice,1811,6.2910432419016615e-09
social justice,1812,3.2669689176145766e-08
social justice,1813,8.730698830561323e-09
social justice,1814,1.8821406655433748e-08
social justice,1815,6.391696949492598e-09
social justice,1816,2.594975789804721e-09
social justice,1817,8.388862049457657e-09
social justice,1818,3.738326270763537e-08
social justice,1819,2.0333539296757408e-08
social justice,1820,1.9468803458266848e-08
social justice,1821,1.3155645461893073e-08
social justice,1822,1.2055938469757166e-08
social justice,1823,3.350671207158484e-08
social justice,1824,1.7169725197163643e-08
social justice,1825,1.4168491269117567e-08
social justice,1826,9.394272915130841e-09
social justice,1827,3.31685328092135e-08
social justice,1828,2.7091997978345717e-08
social justice,1829,1.9028149722544185e-08
social justice,1830,2.0292764801865815e-08
social justice,1831,3.250076119343248e-08
social justice,1832,3.0598396705272535e-08
social justice,1833,9.568307923757402e-09
social justice,1834,3.109899893161128e-08
social justice,1835,2.7352994536045117e-08
social justice,1836,4.031845080021412e-08
social justice,1837,1.8886723296418495e-08
social justice,1838,2.355339567827741e-08
social justice,1839,1.8590204931001608e-08
social justice,1840,4.4549388178438676e-08
social justice,1841,4.0361808117950204e-08
social justice,1842,2.6879405368163134e-08
social justice,1843,5.159926885767163e-08
social justice,1844,3.0440713061352653e-08
social justice,1845,4.5540623716533446e-08
social justice,1846,3.115219371352396e-08
social justice,1847,4.648028451015307e-08
social justice,1848,6.252852813304344e-08
social justice,1849,3.972152384790206e-08
social justice,1850,3.524777270058621e-08
social justice,1851,3.509946822077836e-08
social justice,1852,3.9172626031813707e-08
social justice,1853,4.125451980030448e-08
social justice,1854,3.9712748645115425e-08
social justice,1855,2.40054660594069e-08
social justice,1856,2.579151114900924e-08
social justice,1857,2.7316888306927467e-08
social justice,1858,2.6646210571357187e-08
social justice,1859,2.0562822555802995e-08
social justice,1860,2.729561465741881e-08
social justice,1861,3.5002340581513636e-08
social justice,1862,3.5775322260178655e-08
social justice,1863,4.3181977105177793e-08
social justice,1864,5.0145384733468745e-08
social justice,1865,4.3894978318803624e-08
social justice,1866,3.123061986798348e-08
social justice,1867,3.802509240813379e-08
social justice,1868,3.925024572026814e-08
social justice,1869,6.050161971415946e-08
social justice,1870,3.949924831658791e-08
social justice,1871,6.726101275944529e-08
social justice,1872,1.7147829822761196e-08
social justice,1873,3.2675913530511025e-08
social justice,1874,2.0018349644601585e-08
social justice,1875,2.3491127265629075e-08
social justice,1876,1.8727462247625226e-08
social justice,1877,3.656347402625215e-08
social justice,1878,2.6199574065799425e-08
social justice,1879,1.8139274970963015e-08
social justice,1880,5.4020553363898216e-08
social justice,1881,3.529948955360851e-08
social justice,1882,2.2788498199588503e-08
social justice,1883,3.9430041454124876e-08
social justice,1884,3.679070204043455e-08
social justice,1885,4.533958986030484e-08
social justice,1886,1.1359438900626628e-07
social justice,1887,3.412687377135626e-08
social justice,1888,4.907816730792547e-08
social justice,1889,4.05815292481293e-08
social justice,1890,8.246782812193487e-08
social justice,1891,6.739396951616072e-08
social justice,1892,6.340960112538596e-08
social justice,1893,6.87136534338606e-08
social justice,1894,5.743490660847783e-08
social justice,1895,6.324667367607617e-08
social justice,1896,6.905007410296093e-08
social justice,1897,6.847309919066902e-08
social justice,1898,6.732565793754475e-08
social justice,1899,1.0099437730559657e-07
social justice,1900,1.3168663315354934e-07
social justice,1901,1.417352422095064e-07
social justice,1902,8.535192108638512e-08
social justice,1903,9.299006364926754e-08
social justice,1904,8.785176675019102e-08
social justice,1905,1.0461035770958915e-07
social justice,1906,1.0802066441328861e-07
social justice,1907,1.8512847077545302e-07
social justice,1908,1.829482982884656e-07
social justice,1909,1.947022099102469e-07
social justice,1910,2.499940592315397e-07
