id,title,year,doctype,abstract,lang
17571260,,2011,Brief,"The health equity and financial
            protection datasheets provide a picture of equity and
            financial protection in the health sectors of low-and
            middle-income countries. Topics covered include:
            inequalities in health outcomes, health behavior and health
            care utilization; benefit incidence analysis; financial
            protection; and the progressivity of health care financing.
            The tables in this report show how health outcomes, risky
            behaviors and health care utilization vary across asset
            (wealth) quintiles and periods. The quintiles are based on
            an asset index constructed using principal components
            analysis. Benefit-Incidence Analysis (BIA) shows whether,
            and by how much, government health expenditure
            disproportionately benefits the poor. The distribution of
            subsidies depends on the assumptions made to allocate
            subsidies t",English
17683075,,2012,Brief,"The health equity and financial
            protection datasheets provide a picture of equity and
            financial protection in the health sectors of low-and
            middle-income countries. Topics covered include:
            inequalities in health outcomes, health behavior and health
            care utilization; benefit incidence analysis; financial
            protection; and the progressivity of health care financing.
            The tables in this report show how health outcomes, risky
            behaviors and health care utilization vary across asset
            (wealth) quintiles and periods. The quintiles are based on
            an asset index constructed using principal components
            analysis. Benefit-Incidence Analysis (BIA) shows whether,
            and by how much, government health expenditure
            disproportionately benefits the poor. The distribution of
            subsidies depends on the assumptions made to allocate
            subsidies t",English
17683418,,2012,Brief,"The health equity and financial
            protection datasheets provide a picture of equity and
            financial protection in the health sectors of low-and
            middle-income countries. Topics covered include:
            inequalities in health outcomes, health behavior and health
            care utilization; benefit incidence analysis; financial
            protection; and the progressivity of health care financing.
            The tables in this report show how health outcomes, risky
            behaviors and health care utilization vary across asset
            (wealth) quintiles and periods. The quintiles are based on
            an asset index constructed using principal components
            analysis. Benefit-Incidence Analysis (BIA) shows whether,
            and by how much, government health expenditure
            disproportionately benefits the poor. The distribution of
            subsidies depends on the assumptions made to allocate
            subsidies t",English
17684110,,2012,Brief,"The health equity and financial
            protection datasheets provide a picture of equity and
            financial protection in the health sectors of low-and
            middle-income countries. Topics covered include:
            inequalities in health outcomes, health behavior and health
            care utilization; benefit incidence analysis; financial
            protection; and the progressivity of health care financing.
            The tables in this report show how health outcomes, risky
            behaviors and health care utilization vary across asset
            (wealth) quintiles and periods. The quintiles are based on
            an asset index constructed using principal components
            analysis. Benefit-Incidence Analysis (BIA) shows whether,
            and by how much, government health expenditure
            disproportionately benefits the poor. The distribution of
            subsidies depends on the assumptions made to allocate
            subsidies t",English
17565825,,2012,Brief,"The health equity and financial
            protection datasheets provide a picture of equity and
            financial protection in the health sectors of low-and
            middle-income countries. Topics covered include:
            inequalities in health outcomes, health behavior and health
            care utilization; benefit incidence analysis; financial
            protection; and the progressivity of health care financing.
            The tables in this report show how health outcomes, risky
            behaviors and health care utilization vary across asset
            (wealth) quintiles and periods. The quintiles are based on
            an asset index constructed using principal components
            analysis. Benefit-Incidence Analysis (BIA) shows whether,
            and by how much, government health expenditure
            disproportionately benefits the poor. The distribution of
            subsidies depends on the assumptions made to allocate
            subsidies t",English
17566021,,2012,Brief,"The health equity and financial
            protection datasheets provide a picture of equity and
            financial protection in the health sectors of low-and
            middle-income countries. Topics covered include:
            inequalities in health outcomes, health behavior and health
            care utilization; benefit incidence analysis; financial
            protection; and the progressivity of health care financing.
            The tables in this report show how health outcomes, risky
            behaviors and health care utilization vary across asset
            (wealth) quintiles and periods. The quintiles are based on
            an asset index constructed using principal components
            analysis. Benefit-Incidence Analysis (BIA) shows whether,
            and by how much, government health expenditure
            disproportionately benefits the poor. The distribution of
            subsidies depends on the assumptions made to allocate
            subsidies t",English
17570437,,2012,Brief,"The health equity and financial
            protection datasheets provide a picture of equity and
            financial protection in the health sectors of low-and
            middle-income countries. Topics covered include:
            inequalities in health outcomes; health behavior and health
            care utilization; benefit incidence analysis; financial
            protection; and the progressivity of health care financing.
            The tables in this report show how health outcomes, risky
            behaviors and health care utilization vary across asset
            (wealth) quintiles and periods. The quintiles are based on
            an asset index constructed using principal components
            analysis. Benefit-Incidence Analysis (BIA) shows whether,
            and by how much, government health expenditure
            disproportionately benefits the poor. The distribution of
            subsidies depends on the assumptions made to allocate
            subsidies t",English
17571196,,2011,Brief,"The health equity and financial
            protection datasheets provide a picture of equity and
            financial protection in the health sectors of low-and
            middle-income countries. Topics covered include:
            inequalities in health outcomes, health behavior and health
            care utilization; benefit incidence analysis; financial
            protection; and the progressivity of health care financing.
            The tables in this report show how health outcomes, risky
            behaviors and health care utilization vary across asset
            (wealth) quintiles and periods. The quintiles are based on
            an asset index constructed using principal components
            analysis. Benefit-Incidence Analysis (BIA) shows whether,
            and by how much, government health expenditure
            disproportionately benefits the poor. The distribution of
            subsidies depends on the assumptions made to allocate
            subsidies t",English
17623221,,2013,Brief,"The health equity and financial
            protection datasheets provide a picture of equity and
            financial protection in the health sectors of low and
            middle-income countries. Topics covered include:
            inequalities in health outcomes; health behavior and health
            care utilization; benefit incidence analysis; financial
            protection; and the progressivity of health care financing.
            Data are drawn from the Demographic and Health Surveys
            (DHS), World Health Surveys (WHS), Multiple Indicator
            Cluster Surveys (MICS), Living Standards and Measurement
            Surveys (LSMS), as well as other household surveys where
            available. The datasheets use a common set of health
            indicators for all countries.",English
17683072,,2012,Brief,"The health equity and financial
            protection datasheets provide a picture of equity and
            financial protection in the health sectors of low-and
            middle-income countries. Topics covered include:
            inequalities in health outcomes, health behavior and health
            care utilization; benefit incidence analysis; financial
            protection; and the progressivity of health care financing.
            The tables in this report show how health outcomes, risky
            behaviors and health care utilization vary across asset
            (wealth) quintiles and periods. The quintiles are based on
            an asset index constructed using principal components
            analysis. Benefit-Incidence Analysis (BIA) shows whether,
            and by how much, government health expenditure
            disproportionately benefits the poor. The distribution of
            subsidies depends on the assumptions made to allocate
            subsidies t",English
17565630,,2011,Brief,"The health equity and financial
            protection datasheets provide a picture of equity and
            financial protection in the health sectors of low-and
            middle-income countries. Topics covered include:
            inequalities in health outcomes, health behavior and health
            care utilization; benefit incidence analysis; financial
            protection; and the progressivity of health care financing.
            The tables in this report show how health outcomes, risky
            behaviors and health care utilization vary across asset
            (wealth) quintiles and periods. The quintiles are based on
            an asset index constructed using principal components
            analysis. Benefit-Incidence Analysis (BIA) shows whether,
            and by how much, government health expenditure
            disproportionately benefits the poor. The distribution of
            subsidies depends on the assumptions made to allocate
            subsidies t",English
17570551,,2012,Brief,"The health equity and financial
            protection datasheets provide a picture of equity and
            financial protection in the health sectors of low-and
            middle-income countries. Topics covered include:
            inequalities in health outcomes, health behavior and health
            care utilization; benefit incidence analysis; financial
            protection; and the progressivity of health care financing.
            The tables in this report show how health outcomes, risky
            behaviors and health care utilization vary across asset
            (wealth) quintiles and periods. The quintiles are based on
            an asset index constructed using principal components
            analysis. Benefit-Incidence Analysis (BIA) shows whether,
            and by how much, government health expenditure
            disproportionately benefits the poor. The distribution of
            subsidies depends on the assumptions made to allocate
            subsidies t",English
17682561,,2012,Brief,"The health equity and financial
            protection datasheets provide a picture of equity and
            financial protection in the health sectors of low-and
            middle-income countries. Topics covered include:
            inequalities in health outcomes, health behavior and health
            care utilization; benefit incidence analysis; financial
            protection; and the progressivity of health care financing.
            The tables in this report show how health outcomes, risky
            behaviors and health care utilization vary across asset
            (wealth) quintiles and periods. The quintiles are based on
            an asset index constructed using principal components
            analysis. Benefit-Incidence Analysis (BIA) shows whether,
            and by how much, government health expenditure
            disproportionately benefits the poor. The distribution of
            subsidies depends on the assumptions made to allocate
            subsidies t",English
17682564,,2012,Brief,"The health equity and financial
            protection datasheets provide a picture of equity and
            financial protection in the health sectors of low-and
            middle-income countries. Topics covered include:
            inequalities in health outcomes, health behavior and health
            care utilization; benefit incidence analysis; financial
            protection; and the progressivity of health care financing.
            The tables in this report show how health outcomes, risky
            behaviors and health care utilization vary across asset
            (wealth) quintiles and periods. The quintiles are based on
            an asset index constructed using principal components
            analysis. Benefit-Incidence Analysis (BIA) shows whether,
            and by how much, government health expenditure
            disproportionately benefits the poor. The distribution of
            subsidies depends on the assumptions made to allocate
            subsidies t",English
17565981,,2008,Brief,"The health equity and financial
            protection datasheets provide a picture of equity and
            financial protection in the health sectors of low-and
            middle-income countries. Topics covered include:
            inequalities in health outcomes, health behavior and health
            care utilization; benefit incidence analysis; financial
            protection; and the progressivity of health care financing.
            The tables in this report show how health outcomes, risky
            behaviors and health care utilization vary across asset
            (wealth) quintiles and periods. The quintiles are based on
            an asset index constructed using principal components
            analysis. Benefit-Incidence Analysis (BIA) shows whether,
            and by how much, government health expenditure
            disproportionately benefits the poor. The distribution of
            subsidies depends on the assumptions made to allocate
            subsidies t",English
17570507,,2012,Brief,"The health equity and financial
            protection datasheets provide a picture of equity and
            financial protection in the health sectors of low-and
            middle-income countries. Topics covered include:
            inequalities in health outcomes, health behavior and health
            care utilization; benefit incidence analysis; financial
            protection; and the progressivity of health care financing.
            The tables in this report show how health outcomes, risky
            behaviors and health care utilization vary across asset
            (wealth) quintiles and periods. The quintiles are based on
            an asset index constructed using principal components
            analysis. Benefit-Incidence Analysis (BIA) shows whether,
            and by how much, government health expenditure
            disproportionately benefits the poor. The distribution of
            subsidies depends on the assumptions made to allocate
            subsidies t",English
17570769,,2012,Brief,"The health equity and financial
            protection datasheets provide a picture of equity and
            financial protection in the health sectors of low-and
            middle-income countries. Topics covered include:
            inequalities in health outcomes, health behavior and health
            care utilization; benefit incidence analysis; financial
            protection; and the progressivity of health care financing.
            The tables in this report show how health outcomes, risky
            behaviors and health care utilization vary across asset
            (wealth) quintiles and periods. The quintiles are based on
            an asset index constructed using principal components
            analysis. Benefit-Incidence Analysis (BIA) shows whether,
            and by how much, government health expenditure
            disproportionately benefits the poor. The distribution of
            subsidies depends on the assumptions made to allocate
            subsidies t",English
17682557,,2012,Brief,"The health equity and financial
            protection datasheets provide a picture of equity and
            financial protection in the health sectors of low- and
            middle-income countries. The tables in this section show how
            health outcomes, risky behaviors and health care utilization
            vary across asset (wealth) quintiles and periods. The
            quintiles are based on an asset index constructed using
            principal components analysis. The tables show the mean
            values of the indicator for each quintile, as well as for
            the sample as a whole. Also shown are the concentration
            indices which capture the direction and degree of
            inequality. Benefit-incidence analysis (BIA) shows whether,
            and by how much, government health expenditure
            disproportionately benefits the poor. There are three tables
            showing, respectively, the distribution of service
            utilizat",English
17683478,,2012,Brief,"The health equity and financial
            protection datasheets provide a picture of equity and
            financial protection in the health sectors of low-and
            middle-income countries. Topics covered include:
            inequalities in health outcomes, health behavior and health
            care utilization; benefit incidence analysis; financial
            protection; and the progressivity of health care financing.
            The tables in this report show how health outcomes, risky
            behaviors and health care utilization vary across asset
            (wealth) quintiles and periods. The quintiles are based on
            an asset index constructed using principal components
            analysis. Benefit-Incidence Analysis (BIA) shows whether,
            and by how much, government health expenditure
            disproportionately benefits the poor. The distribution of
            subsidies depends on the assumptions made to allocate
            subsidies t",English
